num compteur;date;nombre velos;probabilite_presence_anomalie;jour_de_la_semaine;vacances
667;24/01/2023;2559;;2;Hors Vacances
673;24/01/2023;0;Forte;2;Hors Vacances
725;24/01/2023;485;;2;Hors Vacances
744;24/01/2023;683;;2;Hors Vacances
948;24/01/2023;315;;2;Hors Vacances
674;24/01/2023;872;;2;Hors Vacances
675;24/01/2023;954;;2;Hors Vacances
676;24/01/2023;742;;2;Hors Vacances
680;24/01/2023;487;;2;Hors Vacances
682;24/01/2023;1273;;2;Hors Vacances
986;24/01/2023;203;;2;Hors Vacances
997;24/01/2023;674;;2;Hors Vacances
1055;24/01/2023;0;Forte;2;Hors Vacances
9998;24/01/2023;696;;2;Hors Vacances
786;24/01/2023;2641;;2;Hors Vacances
943;24/01/2023;186;;2;Hors Vacances
945;24/01/2023;691;;2;Hors Vacances
987;24/01/2023;160;;2;Hors Vacances
666;24/01/2023;185;;2;Hors Vacances
670;24/01/2023;316;;2;Hors Vacances
727;24/01/2023;486;;2;Hors Vacances
746;24/01/2023;675;;2;Hors Vacances
788;24/01/2023;1699;;2;Hors Vacances
960;24/01/2023;57;;2;Hors Vacances
996;24/01/2023;667;;2;Hors Vacances
1042;24/01/2023;268;;2;Hors Vacances
8673;24/01/2023;0;Forte;2;Hors Vacances
664;24/01/2023;1055;;2;Hors Vacances
665;24/01/2023;909;;2;Hors Vacances
681;24/01/2023;515;;2;Hors Vacances
745;24/01/2023;148;;2;Hors Vacances
747;24/01/2023;650;;2;Hors Vacances
946;24/01/2023;876;;2;Hors Vacances
947;24/01/2023;290;;2;Hors Vacances
950;24/01/2023;511;;2;Hors Vacances
994;24/01/2023;577;;2;Hors Vacances
995;24/01/2023;975;;2;Hors Vacances
1041;24/01/2023;271;;2;Hors Vacances
1056;24/01/2023;0;Forte;2;Hors Vacances
668;24/01/2023;789;;2;Hors Vacances
669;24/01/2023;763;;2;Hors Vacances
672;24/01/2023;0;Forte;2;Hors Vacances
742;24/01/2023;1569;;2;Hors Vacances
743;24/01/2023;1267;;2;Hors Vacances
847;24/01/2023;2271;;2;Hors Vacances
890;24/01/2023;2811;;2;Hors Vacances
944;24/01/2023;268;;2;Hors Vacances
989;24/01/2023;1368;;2;Hors Vacances
1057;24/01/2023;0;Forte;2;Hors Vacances
679;24/01/2023;0;Forte;2;Hors Vacances
683;24/01/2023;1159;;2;Hors Vacances
785;24/01/2023;2718;;2;Hors Vacances
787;24/01/2023;1769;;2;Hors Vacances
880;24/01/2023;1847;;2;Hors Vacances
949;24/01/2023;210;;2;Hors Vacances
959;24/01/2023;84;;2;Hors Vacances
979;24/01/2023;15;;2;Hors Vacances
988;24/01/2023;1038;;2;Hors Vacances
9999;24/01/2023;110;;2;Hors Vacances
677;24/01/2023;621;;2;Hors Vacances
